/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_4/0MoR6Dy9kNE_000015_000025.mp4,379
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_4/0RokX6V7Cyw_000009_000019.mp4,183
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_4/0HpzfpDAEJ8_000012_000022.mp4,152
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_4/0NUTcXmBjRs_000068_000078.mp4,104
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_4/0PUt5XSDGwA_000004_000014.mp4,276
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_4/0Lmm1GeaOoo_000002_000012.mp4,379
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_4/0PKJKPVOREs_000008_000018.mp4,275
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_4/0QSA4Nma5Uc_000018_000028.mp4,379
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_4/0H1wFN2EqvM_000000_000010.mp4,273
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_4/0K-TPlc1l8E_000068_000078.mp4,104
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_5/0UgyqJtni6g_000035_000045.mp4,269
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_5/0fd4OB1fkew_000056_000066.mp4,152
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_5/0jT6_zegUN4_000011_000021.mp4,270
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_5/0fpbpDKXlqI_000000_000010.mp4,183
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_5/0YXc5fZanlY_000090_000100.mp4,269
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_5/0hOiHj9oXlQ_000050_000060.mp4,276
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_5/0XI1Fp2JFcM_000004_000014.mp4,275
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_5/0dJ5gR2N1iM_000016_000026.mp4,282
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_5/0fJDwTxsT54_000010_000020.mp4,269
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_5/0dmFZrse9kA_000010_000020.mp4,156
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_5/0coydTMyx30_000041_000051.mp4,104
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_5/0dyK9C53C3Y_000006_000016.mp4,270
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_5/0cmPpI-wWp8_000019_000029.mp4,275
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_5/0cg8XfB9fL0_000121_000131.mp4,104
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_5/0jKDjCmgGHo_000004_000014.mp4,183
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_5/0Ynrdz9TuHg_000024_000034.mp4,269
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_5/0dcO4B8B3eE_000244_000254.mp4,282
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_5/0_k6XiBEnBg_000018_000028.mp4,276
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_5/0URpP68EZzs_000010_000020.mp4,78
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_5/0TpW6oYZnME_000000_000010.mp4,105
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_5/0e2OdCAOwe8_000004_000014.mp4,273
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_5/0gjvKaxtDXg_000017_000027.mp4,275
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_5/0ZPxAE5EeTg_000042_000052.mp4,379
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_5/0XBwmne53Lk_000010_000020.mp4,282
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_5/0YZrNO-sVsQ_000007_000017.mp4,78
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_5/0Uo94Maep00_000007_000017.mp4,274
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_5/0WQrVo9ETkc_000052_000062.mp4,282
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_5/0igSLIh3ntQ_000001_000011.mp4,272
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_5/0hUNeCQJCZA_000231_000241.mp4,368
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_5/0Y4AdXSciOs_000022_000032.mp4,78
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_5/0d5Y3zRJJkw_000005_000015.mp4,273
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_5/0b4JeBG60Ew_000003_000013.mp4,397
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_5/0Zyak3mqRuc_000048_000058.mp4,274
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_5/0jqAM2dkCWc_000023_000033.mp4,379
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_5/0aQFYMZ98Rc_000023_000033.mp4,152
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_5/0ZEvj372rGk_000050_000060.mp4,271
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_5/0Y7Ncjm5g1Y_000220_000230.mp4,271
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_5/0hhaQulpqxM_000001_000011.mp4,282
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_5/0eSFmX-NTIU_000049_000059.mp4,269
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_5/0gkTet0u0Xs_000004_000014.mp4,152
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_5/0XhfcX3oQSA_000012_000022.mp4,152
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_5/0YdN-wAtTWU_000039_000049.mp4,105
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_5/0dKkk3Sl-QQ_000147_000157.mp4,282
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_5/0eVbNhwl8_8_000035_000045.mp4,269
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_5/0Z1HNWEs34M_000011_000021.mp4,275
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_5/0gjo_vXl-KQ_000029_000039.mp4,183
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_5/0joDynw6S2I_000021_000031.mp4,104
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_5/0f66UEeLLeM_000310_000320.mp4,91
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_5/0VOxfdWK6mw_000031_000041.mp4,273
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_5/0ToU7j3U0fo_000048_000058.mp4,379
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_5/0W8QlCxJFkI_000047_000057.mp4,276
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/1-i-QI_ugJU_000000_000010.mp4,397
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0l5AJVEcrb0_000037_000047.mp4,368
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0sC7Ovz0h20_000021_000031.mp4,269
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0t1edpIaSaY_000056_000066.mp4,104
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0w7v3KEDflA_000011_000021.mp4,282
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0r1HFfPcVKI_000642_000652.mp4,272
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0kkPIwmcpOg_000096_000106.mp4,78
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0wJzFmLeGKI_000004_000014.mp4,275
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0y6ciJacQ3M_000129_000139.mp4,266
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/1-jDLWm5w5o_000001_000011.mp4,183
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0ytiGtRgoBc_000050_000060.mp4,152
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0yYkqwp3Trw_000152_000162.mp4,269
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0s73fjHokag_000000_000010.mp4,183
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0oYBU5SrAsc_000000_000010.mp4,78
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/1-YXJ931hAU_000036_000046.mp4,282
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/10YXKet26n8_000005_000015.mp4,270
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0mffd8TMtHg_000005_000015.mp4,269
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0ya8hWi4-1g_000050_000060.mp4,104
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0lup_JJgq0c_000023_000033.mp4,274
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0xjnItoMYgs_000184_000194.mp4,275
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0yy5Y4hTD1c_000018_000028.mp4,183
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0mtwjkaS1dE_000022_000032.mp4,282
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0pTKQ3gY1ZA_000003_000013.mp4,78
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0pznVln9yhw_000024_000034.mp4,276
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/1-2wFrbuOuI_000039_000049.mp4,274
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0sZDeFe3J0s_000028_000038.mp4,379
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0ySTqg5aFvw_000000_000010.mp4,269
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0z4nrR-Hs5o_000125_000135.mp4,104
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0uVxk84MXVE_000005_000015.mp4,397
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0yyXWU6JKtc_000280_000290.mp4,91
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0sBTBSDbxAU_000437_000447.mp4,91
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0qV2fTbgXAQ_000009_000019.mp4,265
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0ojl8BOp3DU_000020_000030.mp4,273
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0wMp-TCWcmg_000026_000036.mp4,91
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/10lpbBJKh0U_000070_000080.mp4,265
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0t2ou6rPPus_000002_000012.mp4,276
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0mMmUXH-sa4_000002_000012.mp4,105
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0sCN7ylyFLs_000012_000022.mp4,183
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0kYIIDZ2Rls_000041_000051.mp4,274
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0qi5NdNS7RE_000045_000055.mp4,104
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/10e_zeGCh-c_000032_000042.mp4,269
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0yp3SgaSocU_000010_000020.mp4,269
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0p82v6cSzOk_000004_000014.mp4,269
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0p5Ph99ZFXM_000037_000047.mp4,276
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0ysbvaGmPlg_000006_000016.mp4,156
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0oEt6N6POFI_000402_000412.mp4,104
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0ytiu05JJLs_000026_000036.mp4,104
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0lJJ5iN--SY_000002_000012.mp4,183
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0zioI99qYmo_000002_000012.mp4,269
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0snJBTZ8M6M_000003_000013.mp4,273
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0xTnfyqj7iY_000068_000078.mp4,152
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0noW-jf_E-A_000013_000023.mp4,78
/home/leon-gold/jepa/kinetics-dataset/k400_targz/train/part_6/0sjiHDzDwVs_000032_000042.mp4,274
